16 25409.1484509 26292.3985354 24525.8983663
32 33603.5391932 35393.7759592 31813.3024272
64 51427.3212159 53686.7917115 49167.8507202
128 82609.7463334 86630.9057274 78588.5869394
256 135031.103538 143362.699188 126699.507888
512 184275.058737 200851.390428 167698.727046
1024 283704.439507 331020.453678 236388.425336
